,Jaye Shimek,Leandro Marse,Annie Lapham,Harmony Mcmurtry,Zofia Roll,Tasia Dube,Lorrine Paek,Veronique Blakemore,Randall Feather,Michale Tuch,Jarvis Pratts,Vance Ates,Donte Berkeley,Tora Echevarria,Hassan Toner,Kyle Ryals,Vonk Billips,Julieta Knapp,Stephine Gatlin,Bebe Riva,Marthe Hale,Paulene Calcagni,Milagros Salmeron,Anisha Mathes,Layne Woodside,Lisette Tolleson,Andreas Jost,Jeannie Liang,Hwa Defalco,Aurea Durrance,Sal Papa,Narcisa Core,Bridgette Marko,Leatrice Heer,Remedios Fincham,Lavonna Sim,Lester Preiss,Augusta Beltrami,Grover Gibbons,Velvet Matley,Johnetta Hatcher,Petrina Maggart,Chung Zertuche,Adriene Wilde,Byron Caroll,Mellisa Blanco,Hettie Beller,Corrine Gallop,Angela Compos,Kiera Loar
2012-01-24,6,5,4,6,7,1,3,3,3,3,4,9,8,1,0,6,6,5,8,6,4,7,3,2,4,5,7,3,2,5,6,6,3,5,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-25,4,3,6,7,5,4,0,6,3,3,5,9,9,0,0,5,4,7,7,4,6,5,5,3,3,4,7,6,6,0,5,7,7,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-26,7,3,0,5,4,0,1,6,3,5,1,6,7,0,0,8,4,6,9,3,3,3,6,4,6,9,6,5,4,2,7,4,7,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-27,8,4,6,4,3,1,2,6,7,2,3,9,11,1,0,5,4,5,7,5,6,6,3,1,3,7,5,2,2,5,8,5,3,7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-30,4,4,3,6,2,0,1,7,6,1,1,9,9,0,3,4,3,9,9,5,2,6,2,0,5,7,4,6,4,2,6,6,5,7,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31,5,4,4,7,3,3,2,4,7,3,2,6,7,1,0,6,4,5,5,6,3,6,3,0,3,8,5,5,3,3,5,6,2,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,3,1,6,5,3,4,4,7,6,6,3,8,10,0,4,4,2,8,5,5,4,6,1,1,5,5,7,3,3,5,4,8,4,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,4,4,0,6,5,0,4,6,6,2,2,9,11,0,3,7,3,7,7,3,3,2,3,4,3,6,5,2,4,2,4,7,3,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-03,7,2,3,5,7,2,2,5,6,1,3,10,7,0,1,3,5,7,5,3,3,5,2,2,2,5,7,6,2,0,7,6,4,6,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,3,3,5,4,3,4,0,0,5,2,1,6,10,1,0,6,3,7,6,2,3,7,3,0,1,5,0,3,6,2,5,5,5,5,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,8,2,7,6,4,4,0,0,4,4,0,7,9,3,1,4,3,8,9,7,6,6,6,0,5,7,0,5,2,3,7,5,2,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,4,2,5,3,4,1,0,0,6,3,0,5,8,0,0,5,4,5,5,7,6,7,5,0,2,9,0,6,3,1,4,8,7,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,7,6,0,8,5,1,0,0,3,5,4,9,7,1,4,6,3,4,9,4,5,6,2,0,3,8,7,5,5,1,4,6,6,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-10,7,0,7,6,2,4,0,0,3,2,0,7,7,1,2,8,5,5,5,2,6,5,3,0,4,9,4,4,2,2,5,5,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,5,2,3,3,3,3,0,0,7,0,0,9,9,1,0,0,3,9,8,7,4,4,3,0,3,9,5,4,2,0,7,5,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,4,1,3,7,3,3,0,0,7,0,0,8,6,4,3,0,3,9,7,6,2,6,4,0,1,6,5,4,3,4,7,8,6,3,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-15,7,4,4,6,3,4,0,0,3,5,0,8,11,2,1,0,4,6,7,3,3,6,6,0,4,8,3,4,6,1,4,0,3,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-16,4,6,0,7,3,1,0,0,7,3,0,5,7,1,2,0,5,4,10,3,3,5,6,0,3,8,8,5,3,2,8,0,7,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-17,5,4,3,7,3,5,0,0,5,4,0,6,8,3,0,0,4,9,9,3,5,4,6,2,3,6,8,3,4,2,3,0,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-20,6,4,4,4,0,5,0,5,3,5,0,6,10,2,0,0,2,9,8,5,4,2,5,0,4,7,6,0,2,1,6,0,2,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-21,5,5,7,7,0,0,2,5,4,5,1,6,9,0,0,6,5,7,0,6,7,4,3,2,5,6,7,0,6,4,8,0,0,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-22,3,4,4,7,0,3,3,4,6,2,1,6,6,0,0,5,7,5,0,3,5,6,1,2,5,8,8,0,3,0,4,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-23,4,2,0,5,0,2,0,3,0,5,3,10,10,0,0,4,2,4,0,4,3,6,1,0,1,7,6,0,3,2,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-24,4,3,6,4,0,2,1,6,0,6,3,8,10,4,0,5,6,7,0,2,2,0,3,1,5,7,3,0,3,5,8,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-27,6,4,4,5,0,4,3,2,0,2,2,5,8,0,0,5,5,7,5,3,4,5,0,1,1,7,6,5,2,4,8,8,7,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-28,7,4,4,5,3,0,2,4,0,5,0,10,7,2,0,3,4,8,7,2,3,3,0,4,6,7,3,3,4,3,7,7,3,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-29,6,5,2,3,7,0,1,3,0,4,2,7,9,0,0,6,3,7,9,7,5,7,0,4,0,4,7,1,5,0,4,5,5,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,7,3,0,5,5,0,3,3,0,5,3,6,7,0,0,4,4,8,7,6,3,4,0,5,0,6,5,5,6,3,3,7,5,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-02,3,1,5,8,4,0,4,4,0,3,1,6,9,2,0,8,6,9,6,5,6,3,0,2,0,8,8,5,2,0,5,8,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-05,0,1,7,4,3,0,0,2,0,5,1,6,0,3,0,3,6,5,9,3,6,5,0,5,0,8,6,2,3,2,3,4,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,0,2,5,6,4,0,0,3,7,4,0,6,0,2,0,5,4,5,10,5,2,4,0,2,6,8,4,5,4,4,5,7,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-07,0,2,6,7,4,4,2,3,4,2,3,10,0,4,1,4,5,7,7,4,4,6,0,2,1,7,5,2,2,3,3,5,4,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-08,0,3,0,0,4,2,0,6,4,2,1,8,0,1,2,7,7,8,7,4,2,4,2,0,4,8,7,5,3,4,5,7,6,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,0,5,4,0,3,3,0,5,4,4,3,10,0,2,3,4,5,6,8,0,7,5,4,3,2,5,6,3,5,2,3,8,6,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,0,2,4,0,3,4,0,6,6,2,4,0,7,3,2,4,4,5,6,0,3,4,2,4,5,8,3,1,7,4,7,5,4,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,0,4,4,0,4,1,3,6,6,3,3,0,8,1,3,7,5,7,8,5,5,4,5,1,2,6,6,5,6,4,6,7,4,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,0,2,4,0,3,0,2,4,5,5,5,0,9,0,3,5,5,9,10,4,3,2,5,5,2,7,5,2,6,2,5,7,6,5,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-15,0,2,0,0,3,5,0,6,6,5,1,0,11,0,0,8,4,5,5,3,7,5,3,4,2,5,5,6,5,3,0,6,4,3,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,6,4,3,0,2,3,1,5,5,2,4,0,6,3,3,7,2,5,6,5,3,3,5,4,4,8,6,2,5,1,0,5,2,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-19,4,2,0,4,4,5,0,3,6,2,0,0,10,0,2,6,4,9,7,4,3,0,6,2,5,4,5,3,5,3,5,8,4,6,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-20,7,3,5,4,3,4,1,2,5,1,4,0,7,0,2,6,3,9,9,5,5,0,5,3,3,5,5,3,5,4,8,6,5,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-21,7,3,5,4,5,1,2,3,3,5,4,8,10,1,1,6,4,9,7,5,4,2,5,4,1,7,3,3,4,4,7,5,7,5,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-22,4,5,0,7,4,3,0,0,5,5,5,9,11,2,3,4,3,8,9,4,7,7,2,4,2,6,5,3,6,1,7,7,7,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-23,4,6,3,7,3,5,0,6,7,0,2,10,9,4,0,6,6,5,6,5,5,4,3,3,4,6,4,5,6,3,7,4,3,3,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-26,4,3,6,4,5,4,0,5,4,2,3,6,10,2,1,7,6,5,6,7,5,2,4,2,1,9,7,4,0,2,7,6,5,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-27,6,4,6,6,3,5,0,5,3,3,1,5,9,2,3,7,6,5,9,3,3,7,5,1,6,9,0,2,0,1,3,9,5,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-28,4,2,3,8,4,0,0,3,5,3,0,9,10,3,0,7,5,5,6,5,2,6,5,4,4,9,0,4,0,4,7,6,6,6,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-29,6,3,0,3,4,3,0,6,5,2,5,9,6,1,0,7,5,8,0,5,2,4,2,3,5,4,0,2,3,4,4,8,5,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-30,4,4,6,5,5,4,0,3,6,2,1,7,8,0,0,5,6,7,0,6,3,6,2,2,1,6,0,3,6,4,6,6,5,5,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-02,4,6,3,5,3,3,0,7,6,6,3,8,8,0,0,5,3,8,0,7,6,5,4,5,3,4,0,6,6,3,7,5,5,7,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-03,6,3,4,5,2,1,0,3,5,3,5,8,11,0,3,7,6,6,0,6,2,3,2,5,4,7,0,6,4,4,4,8,4,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-04,4,4,6,6,4,1,0,6,5,6,2,6,10,0,3,8,6,5,0,4,7,6,3,1,3,5,0,5,4,2,6,5,4,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-05,6,4,0,5,7,4,0,7,6,2,3,9,9,0,1,4,6,8,0,3,7,3,4,4,4,7,0,2,2,4,3,8,3,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-06,7,2,5,7,5,0,2,5,4,4,2,6,10,0,2,6,6,8,9,5,2,2,5,2,5,8,0,5,3,0,3,5,0,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-09,7,3,2,3,5,2,1,0,3,4,1,9,9,0,0,7,6,8,8,3,4,5,0,3,4,6,6,0,5,0,5,8,4,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-10,8,4,3,7,4,0,3,0,4,2,4,7,6,0,2,5,6,7,7,3,4,4,0,4,1,5,6,0,4,0,7,5,3,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-11,8,4,6,8,6,0,0,0,6,4,0,6,9,1,3,5,4,9,7,4,5,4,0,2,5,8,8,2,7,0,5,5,5,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-12,3,3,0,4,7,0,0,0,6,6,0,7,7,3,1,6,4,9,7,2,5,5,0,4,3,8,6,3,7,0,8,8,6,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-13,5,5,7,3,4,0,0,0,2,1,0,8,8,1,0,4,5,8,8,3,7,6,3,1,2,5,7,2,5,2,7,0,2,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-16,3,0,5,5,5,0,0,0,4,4,0,7,7,0,1,4,4,6,7,4,6,7,2,0,5,8,5,3,2,1,7,0,3,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-17,4,1,4,6,4,0,0,0,4,4,0,6,10,2,0,7,6,8,5,7,3,6,3,1,2,7,7,4,3,2,6,0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-18,5,5,6,7,7,0,1,5,5,6,0,8,7,3,4,6,5,8,8,7,6,4,4,3,3,9,4,4,7,2,8,0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-19,5,1,0,6,0,0,0,4,3,4,0,8,9,0,0,8,7,6,5,4,2,6,3,3,1,6,6,4,4,1,7,0,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-20,7,2,3,6,0,0,3,4,3,4,0,8,0,4,4,4,4,9,7,3,5,4,2,3,0,5,4,3,2,5,5,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-23,6,5,6,8,0,4,2,5,6,1,3,8,7,2,1,3,2,9,9,5,2,4,1,1,0,8,5,4,5,2,6,0,6,3,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-24,5,5,5,5,0,5,3,4,3,6,1,9,6,3,0,6,4,8,6,2,6,3,2,1,0,8,7,3,4,4,7,0,3,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-25,3,4,5,3,0,2,4,3,2,3,2,9,10,2,4,3,2,4,10,5,5,6,2,1,0,7,7,5,6,3,5,7,3,4,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-26,3,1,0,6,7,1,3,3,3,4,5,9,8,2,2,4,7,7,5,2,7,6,4,3,0,7,5,1,5,3,8,8,4,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-27,0,5,3,7,6,0,1,5,6,5,4,7,8,0,0,4,3,4,7,4,3,4,4,5,0,5,6,6,2,4,3,6,7,6,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-30,0,4,0,5,6,1,4,4,4,0,3,6,7,4,0,0,3,5,8,4,2,4,1,1,0,6,7,6,4,3,5,5,7,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,6,0,5,7,4,2,5,3,0,1,8,7,2,2,0,5,6,6,3,4,3,1,4,0,4,5,3,5,3,6,4,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-02,0,5,0,5,4,2,1,3,0,0,1,8,6,3,4,0,3,9,9,6,3,7,3,0,1,9,4,3,7,1,5,4,5,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-03,0,3,0,6,5,0,0,6,0,0,3,9,7,3,4,0,2,5,9,3,6,2,6,3,6,7,8,2,6,2,7,6,5,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-04,0,4,0,6,3,4,0,6,0,5,1,6,10,1,4,0,3,8,8,4,4,2,4,2,5,8,4,2,4,3,6,5,7,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-07,0,6,5,6,5,1,4,2,0,5,1,6,6,0,0,0,5,5,7,4,0,6,2,0,6,7,4,6,6,2,0,5,7,6,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-08,5,4,5,7,6,5,1,6,0,5,0,6,10,0,1,0,7,8,8,7,0,4,5,1,5,8,6,6,6,5,0,5,3,4,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-09,5,4,5,8,6,2,3,3,0,4,3,6,8,0,0,4,2,7,5,0,0,6,4,5,4,4,7,3,5,3,0,8,4,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-10,5,6,0,4,4,4,0,5,0,6,3,5,6,1,2,3,3,8,5,0,0,5,6,3,2,9,6,2,4,3,0,5,6,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-11,6,6,7,5,5,1,4,3,0,4,0,7,8,4,0,8,4,7,7,0,0,4,5,1,4,5,6,1,4,5,0,6,6,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-14,4,2,3,8,5,2,0,3,0,2,4,6,7,0,0,7,3,6,8,0,0,6,6,4,2,5,7,4,2,4,0,7,0,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-15,4,5,5,7,3,4,0,5,4,5,1,7,8,0,0,4,4,4,6,0,0,3,2,1,1,5,7,5,4,3,0,4,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-16,5,2,5,5,5,1,0,6,6,3,0,7,8,0,2,7,6,4,10,4,0,5,2,1,1,5,3,5,6,4,0,5,0,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-17,3,2,0,5,5,2,0,3,6,4,2,9,10,0,0,4,6,6,8,6,0,4,3,5,3,4,4,5,0,3,0,7,0,6,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-18,3,5,5,4,2,0,4,6,3,3,0,7,7,0,4,5,5,5,9,6,0,6,5,0,2,5,5,3,0,3,4,7,0,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-21,5,1,6,5,4,0,4,7,5,1,1,9,8,0,2,4,6,8,10,3,6,0,5,1,4,8,7,3,0,5,6,7,0,6,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-22,6,2,3,8,7,2,2,6,5,5,2,10,8,0,0,8,4,9,7,5,3,0,1,5,3,8,3,4,0,1,7,8,0,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-23,7,5,3,3,3,1,0,4,4,1,5,8,10,0,0,3,6,5,8,5,2,0,5,3,2,6,8,3,0,0,7,6,0,7,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-24,5,1,0,8,3,4,3,6,6,4,1,7,8,0,2,5,3,6,10,6,4,0,2,0,4,8,6,3,0,4,3,6,0,5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-25,7,6,6,6,2,1,0,6,6,3,3,9,6,0,2,6,5,5,6,3,6,0,1,1,2,9,3,4,0,3,8,7,3,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-28,5,2,3,6,0,4,3,4,3,3,0,9,9,2,3,5,5,5,5,4,3,0,3,1,3,8,7,3,6,3,7,5,3,2,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-29,4,3,6,6,0,2,0,3,3,1,0,5,10,2,0,4,5,6,8,5,6,0,1,4,5,8,6,2,7,4,5,5,2,2,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-30,5,3,5,4,0,2,2,2,2,5,0,7,11,2,0,8,3,9,0,7,5,5,5,2,5,8,6,5,3,3,6,7,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-31,3,3,0,7,0,2,3,3,6,5,0,6,9,4,0,3,5,5,0,6,5,7,3,3,1,5,5,3,3,3,7,8,4,6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,4,4,3,7,0,0,2,3,3,3,0,8,9,1,3,5,7,4,0,6,5,3,4,2,1,6,6,3,3,1,5,9,6,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-04,8,3,4,0,4,5,1,3,4,4,2,6,11,4,2,5,3,7,6,7,2,6,3,2,1,0,7,3,3,2,6,0,3,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-05,6,3,5,0,7,2,0,7,4,3,4,6,11,0,0,6,6,8,8,7,4,4,4,4,5,0,6,5,6,0,6,0,4,5,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-06,3,2,7,0,7,5,0,4,5,6,0,9,6,2,4,4,3,5,5,5,7,4,5,0,5,0,4,5,6,0,4,0,5,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-07,8,3,0,0,7,2,4,6,4,5,2,8,8,2,3,5,6,6,6,5,3,4,1,0,2,0,3,5,5,0,6,0,6,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-08,4,3,7,0,5,0,4,6,2,3,1,7,10,0,4,6,5,7,9,4,4,3,3,0,4,0,6,6,6,5,4,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-11,0,5,3,0,6,2,0,4,3,4,2,0,7,2,4,5,5,8,9,4,2,5,4,0,1,4,6,3,6,0,5,5,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-12,0,2,6,0,2,4,0,7,3,4,1,0,0,1,2,4,3,7,8,7,6,2,5,2,4,8,6,5,5,2,6,7,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-13,0,5,6,0,5,3,3,3,6,4,1,0,0,0,1,0,2,5,9,2,3,3,3,2,5,8,3,1,5,2,6,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-14,0,5,0,0,5,3,1,2,3,6,5,0,0,1,2,0,6,7,5,3,3,5,4,3,2,8,5,5,3,2,3,7,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-15,0,2,7,0,5,4,3,0,3,2,2,0,0,4,3,0,5,5,6,5,6,6,2,3,6,7,0,5,7,2,3,7,4,4,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-18,4,4,5,4,3,1,0,0,2,6,1,7,7,0,2,0,6,7,6,7,4,6,3,3,6,8,4,4,3,0,7,9,7,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-19,6,3,5,6,6,3,3,0,4,2,2,9,9,1,0,0,5,7,9,6,6,2,2,4,2,5,7,6,6,3,4,5,3,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
